days_from_start,n,mean,se
0,59,0.4782895901689889,0.014872216396315948
1,22,0.3844277474304175,0.0319066176056963
4,317,0.41392530122048443,0.005580847635277694
5,22,0.4007451897058038,0.02369959610462251
6,18,0.41354958955666493,0.02315345031793599
7,1,0.4048213839620285,NA
8,63,0.3740384472387289,0.007316548320774279
9,3,0.4264702020576224,0.01237354118712687
12,45,0.30021849980658566,0.0074409003668068
14,7,0.36055771381766444,0.019426886699594807
16,42,0.2651735615929061,0.00499255363293789
NA,43,0.43407529863683386,0.01747974246573901
